STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Total_Crime,city,lat,lon,state
MANIPUR,bishnupur,2001,1,3,0,0,0,1,0,5,bishnupur,24.6267287,93.7600454, Manipur
MANIPUR,chandel,2001,0,1,0,0,0,0,0,1,,,,
MANIPUR,churachandpur,2001,1,0,0,0,0,0,0,1,,,,
MANIPUR,imphal(east),2001,7,6,0,2,0,1,0,16,,,,
MANIPUR,imphal(west),2001,7,37,0,17,0,3,0,64,,,,
MANIPUR,senapati,2001,0,0,0,0,0,0,0,0,,,,
MANIPUR,tamenglong,2001,0,0,0,0,0,0,0,0,,,,
MANIPUR,thoubal,2001,4,14,0,1,0,0,0,19,thoubal,24.6386954,93.996871, Manipur
MANIPUR,ukhrul,2001,0,1,0,1,0,0,0,2,,,,
MANIPUR,total,2001,20,62,0,21,0,5,0,108,,,,
MEGHALAYA,garo hills east,2001,2,0,0,2,0,0,0,4,,,,
MEGHALAYA,garo hills south,2001,1,0,0,0,0,1,0,2,,,,
MEGHALAYA,garo hills west,2001,5,0,0,8,0,0,0,13,,,,
MEGHALAYA,jaintia hills,2001,7,4,0,3,0,0,0,14,,,,
MEGHALAYA,khasi hills east,2001,5,5,0,8,0,3,0,21,,,,
MEGHALAYA,khasi hills west,2001,4,0,0,2,0,0,0,6,,,,
MEGHALAYA,ri-bhoi,2001,2,2,0,2,0,0,0,6,,,,
MEGHALAYA,total,2001,26,11,0,25,0,4,0,66,,,,
MIZORAM,aizawl,2001,26,0,0,13,0,1,0,40,,,,
MIZORAM,champhai,2001,7,0,0,7,0,0,0,14,,,,
MIZORAM,kolasib,2001,6,0,0,15,0,0,0,21,,,,
MIZORAM,lawngtlai,2001,2,0,0,0,0,0,0,2,,,,
MIZORAM,lunglei,2001,3,0,0,11,0,0,0,14,,,,
MIZORAM,mamit,2001,0,0,0,0,0,15,2,17,,,,
MIZORAM,saiha,2001,3,0,0,6,0,0,0,9,,,,
MIZORAM,serchhip,2001,5,1,0,0,0,0,1,7,,,,
MIZORAM,total,2001,52,1,0,52,0,16,3,124,,,,
NAGALAND,dimapur,2001,4,4,0,0,0,0,0,8,dimapur,25.9041379,93.7177609, Nagaland
NAGALAND,kiphire,2001,0,0,0,0,0,0,0,0,kiphire,25.8117088,94.8474036, Nagaland
NAGALAND,kohima,2001,6,0,0,6,0,0,0,12,kohima,25.6618755,94.1019156, Nagaland
NAGALAND,mokokchung,2001,1,0,0,0,0,0,0,1,mokokchung,26.4795861,94.5105275, Nagaland
NAGALAND,mon,2001,2,2,0,0,0,0,0,4,mon,26.666667,95.0, Nagaland
NAGALAND,peren,2001,0,0,0,0,0,0,0,0,peren,25.4499691,93.6001738, Nagaland
NAGALAND,phek,2001,1,0,0,0,0,0,0,1,phek,25.6700924,94.3843925, Nagaland
NAGALAND,tuensang,2001,0,0,0,0,0,0,0,0,tuensang,26.2342107,94.741553, Nagaland
NAGALAND,wokha,2001,1,0,0,0,0,0,0,1,wokha,26.242251,94.1921153, Nagaland
NAGALAND,zunheboto,2001,2,0,0,0,0,0,0,2,zunheboto,26.0123803,94.5123719, Nagaland
NAGALAND,total,2001,17,6,0,6,0,0,0,29,,,,
ODISHA,angul,2001,33,5,8,90,0,53,0,189,angul,21.102538,84.9536825, Orissa
ODISHA,balasore,2001,58,32,36,92,9,68,0,295,,,,
ODISHA,baragarh,2001,19,8,0,41,2,30,0,100,,,,
ODISHA,berhampur,2001,10,10,4,41,6,29,0,100,,,,
ODISHA,bhadrak,2001,35,18,23,29,5,79,0,189,bhadrak,20.9854052,86.5934226, Orissa
ODISHA,bolangir,2001,19,16,4,91,11,61,0,202,,,,
ODISHA,boudh,2001,6,5,1,21,3,6,0,42,,,,
ODISHA,cuttack,2001,34,33,39,42,1,125,0,274,cuttack,20.4686,85.8792, Orissa
ODISHA,deogarh,2001,8,4,2,33,0,8,0,55,,,,
ODISHA,dhenkanal,2001,15,7,14,82,5,31,0,154,dhenkanal,20.8351494,85.6022305, Orissa
ODISHA,gajapati,2001,10,3,1,13,2,7,0,36,gajapati,19.1966026,84.1930634, Orissa
ODISHA,ganjam,2001,22,10,1,102,6,9,0,150,ganjam,19.6090068,84.7080633, Orissa
ODISHA,jagatsinghpur,2001,12,16,16,13,2,30,0,89,,,,
ODISHA,jajpur,2001,24,14,16,16,3,42,0,115,jajpur,20.8746788,86.1215393, Orissa
ODISHA,jharsuguda,2001,12,5,4,39,1,13,0,74,jharsuguda,21.8019368,83.9713964, Orissa
ODISHA,kalahandi,2001,30,17,0,22,5,9,0,83,kalahandi,19.8265757,83.0408702, Orissa
ODISHA,kandhamal,2001,34,25,4,95,15,29,0,202,,,,
ODISHA,kendrapara,2001,11,15,24,66,176,57,0,349,kendrapara,20.5475164,86.5296168, Orissa
ODISHA,keonjhar,2001,38,19,4,127,16,41,0,245,keonjhar,21.5,85.5, Orissa
ODISHA,khurda,2001,65,32,11,28,9,171,0,316,khurda,20.1617378,85.7052429, Orissa
ODISHA,koraput,2001,38,13,7,56,124,132,0,370,koraput,18.7232023,82.6100596, Orissa
ODISHA,malkangir,2001,14,5,0,27,0,12,0,58,,,,
ODISHA,mayurbhanj,2001,77,31,19,141,0,74,0,342,,,,
ODISHA,nayagarh,2001,17,18,14,11,3,9,0,72,nayagarh,20.2393683,85.050728, Orissa
ODISHA,nowrangpur,2001,13,3,0,41,7,13,0,77,,,,
ODISHA,nuapada,2001,9,2,0,16,5,17,0,49,nuapada,20.5412657,82.5292352, Orissa
ODISHA,puri,2001,41,24,29,13,0,32,0,139,puri,19.8076083,85.8252538, Orissa
ODISHA,rayagada,2001,9,0,1,33,2,26,0,71,rayagada,19.4426698,83.5873053, Orissa
ODISHA,rourkela,2001,12,6,2,35,13,17,0,85,,,,
ODISHA,sambalpur,2001,18,9,0,82,9,18,0,136,sambalpur,21.5570606,84.1528515, Orissa
ODISHA,sonepur,2001,8,4,6,28,4,11,0,61,,,,
ODISHA,srp(cuttack),2001,1,3,0,5,4,0,0,13,,,,
ODISHA,srp(rourkela),2001,2,3,0,2,0,0,0,7,,,,
ODISHA,sundargarh,2001,36,19,4,82,10,7,0,158,,,,
ODISHA,total,2001,790,434,294,1655,458,1266,0,4897,,,,
PUNJAB,amritsar,2001,9,26,7,9,0,77,0,128,amritsar,31.6356659,74.8787496, Punjab
PUNJAB,barnala,2001,12,13,6,13,0,24,0,68,barnala,30.3716802,75.5039887, Punjab
PUNJAB,batala,2001,8,4,6,1,0,19,0,38,,,,
PUNJAB,bhatinda,2001,13,9,4,15,0,57,0,98,,,,
PUNJAB,faridkot,2001,6,7,4,11,0,20,0,48,faridkot,30.6014507,74.7950176, Punjab
PUNJAB,fatehgarh sahib,2001,11,6,4,4,1,7,0,33,,,,
PUNJAB,ferozepur,2001,22,7,11,17,0,22,0,79,,,,
PUNJAB,g.r.p,2001,0,0,3,1,0,0,0,4,,,,
PUNJAB,gurdaspur,2001,12,14,6,4,0,21,0,57,gurdaspur,31.9037264,75.2275587, Punjab
PUNJAB,hoshiarpur,2001,19,13,12,13,0,46,0,103,hoshiarpur,31.6092942,75.8459754, Punjab
PUNJAB,jagraon,2001,19,11,7,3,2,27,0,69,,,,
PUNJAB,jalandhar,2001,21,49,17,16,2,104,0,209,jalandhar,31.2922312,75.5678878, Punjab
PUNJAB,kapurthala,2001,8,9,2,20,0,34,0,73,kapurthala,31.3856476,75.3053304, Punjab
PUNJAB,khanna,2001,6,1,4,0,0,15,0,26,,,,
PUNJAB,ludhiana,2001,38,46,11,46,13,249,0,403,ludhiana,30.9090157,75.851601, Punjab
PUNJAB,majitha,2001,9,6,9,8,0,20,0,52,,,,
PUNJAB,mansa,2001,6,4,2,3,0,3,0,18,,,,
PUNJAB,moga,2001,11,9,6,8,2,25,0,61,moga,30.7877554,75.159359, Punjab
PUNJAB,muktsar,2001,3,2,1,2,0,16,0,24,muktsar,30.4692,74.5182, Punjab
PUNJAB,nawan shahr,2001,11,8,4,8,0,14,0,45,,,,
PUNJAB,patiala,2001,23,46,10,128,19,232,0,458,patiala,30.2092778,76.3397231, Punjab
PUNJAB,ropar,2001,6,6,5,13,4,33,0,67,,,,
PUNJAB,sangrur,2001,15,18,10,18,4,36,0,101,sangrur,30.135717,75.8533326, Punjab
PUNJAB,tarn taran,2001,10,10,8,11,0,27,0,66,,,,
PUNJAB,total,2001,298,324,159,372,47,1128,0,2328,,,,
RAJASTHAN,ajmer,2001,16,125,12,95,0,236,0,484,ajmer,26.4691,74.639, Rajasthan
RAJASTHAN,alwar,2001,34,87,43,124,0,235,0,523,alwar,27.4140049,76.6170387, Rajasthan
RAJASTHAN,banswara,2001,90,59,10,112,1,151,0,423,,,,
RAJASTHAN,baran,2001,81,94,3,219,5,124,0,526,baran,24.9208165,76.6821985, Rajasthan
RAJASTHAN,barmer,2001,13,14,13,71,0,45,0,156,,,,
RAJASTHAN,bharatpur,2001,48,103,24,77,0,209,0,461,bharatpur,27.0246959,77.2920116, Rajasthan
RAJASTHAN,bhilwara,2001,42,223,5,126,3,312,0,711,bhilwara,25.470994,74.6961316, Rajasthan
RAJASTHAN,bikaner,2001,35,34,13,53,0,153,0,288,bikaner,28.0159286,73.3171367, Rajasthan
RAJASTHAN,bundi,2001,36,103,2,164,6,157,0,468,bundi,25.4367659,75.7361471, Rajasthan
RAJASTHAN,chittorgarh,2001,67,169,7,112,5,384,0,744,chittorgarh,24.7171578,74.4718129, Rajasthan
RAJASTHAN,churu,2001,24,14,8,73,3,174,0,296,churu,28.2047781,74.6912996, Rajasthan
RAJASTHAN,dausa,2001,9,26,8,31,0,60,0,134,dausa,26.8048659,76.4437457, Rajasthan
RAJASTHAN,dholpur,2001,24,33,21,34,0,93,0,205,,,,
RAJASTHAN,dungarpur,2001,17,50,3,56,0,60,0,186,dungarpur,23.8538893,73.7087177, Rajasthan
RAJASTHAN,g.r.p.,2001,1,4,0,14,0,0,0,19,,,,
RAJASTHAN,ganganagar,2001,55,65,13,118,2,375,0,628,ganganagar,25.9061389,76.4815499, Rajasthan
RAJASTHAN,hanumangarh,2001,35,22,20,98,0,241,0,416,hanumangarh,29.3659533,74.298429, Rajasthan
RAJASTHAN,jaipur,2001,61,203,29,179,1,453,0,926,jaipur,26.9154576,75.8189817, Rajasthan
RAJASTHAN,jaisalmer,2001,2,7,3,21,0,16,0,49,jaisalmer,26.9116615,70.9124888, Rajasthan
RAJASTHAN,jalore,2001,10,20,12,61,0,96,0,199,jalore,25.2093483,72.3178889, Rajasthan
RAJASTHAN,jhalawar,2001,65,57,8,144,10,224,0,508,jhalawar,24.3132368,76.5221078, Rajasthan
RAJASTHAN,jhunjhunu,2001,19,25,0,50,0,125,0,219,,,,
RAJASTHAN,jodhpur,2001,20,53,12,128,3,263,1,480,jodhpur,26.2967719,73.0351433, Rajasthan
RAJASTHAN,karauli,2001,21,50,10,37,0,66,0,184,karauli,26.5158329,77.0565965, Rajasthan
RAJASTHAN,kota,2001,50,116,17,203,6,319,0,711,kota,25.1737019,75.8574194, Rajasthan
RAJASTHAN,nagaur,2001,22,34,14,65,0,102,0,237,nagaur,26.9873443,73.7389011, Rajasthan
RAJASTHAN,pali,2001,25,61,15,115,2,196,0,414,pali,25.4552211,73.419389, Rajasthan
RAJASTHAN,rajsamand,2001,13,63,6,40,1,104,0,227,rajsamand,25.2892459,73.8241077, Rajasthan
RAJASTHAN,sawai madhopur,2001,19,42,6,49,0,97,0,213,,,,
RAJASTHAN,sikar,2001,13,22,15,28,0,114,0,192,sikar,27.6624156,75.0279971, Rajasthan
RAJASTHAN,sirohi,2001,22,19,8,29,0,79,0,157,sirohi,24.8114047,72.8300257, Rajasthan
RAJASTHAN,tonk,2001,17,50,7,84,6,142,0,306,tonk,26.1223198,75.6632235, Rajasthan
RAJASTHAN,udaipur,2001,43,118,9,68,2,127,0,367,udaipur,24.578721,73.6862571, Rajasthan
RAJASTHAN,total,2001,1049,2165,376,2878,56,5532,1,12057,,,,
SIKKIM,east,2001,7,1,0,0,8,0,0,16,,,,
SIKKIM,north,2001,0,0,0,0,0,0,0,0,,,,
SIKKIM,south,2001,1,0,0,0,4,0,0,5,,,,
SIKKIM,west,2001,0,1,0,0,2,0,0,3,,,,
SIKKIM,total,2001,8,2,0,0,14,0,0,24,,,,
TAMIL NADU,ariyalur,2001,6,14,3,38,4,8,0,73,,,,
TAMIL NADU,chengai,2001,20,8,16,58,8,57,0,167,,,,
TAMIL NADU,chennai,2001,28,0,13,70,209,111,0,431,,,,
TAMIL NADU,chennai rly.,2001,0,0,0,5,0,2,0,7,,,,
TAMIL NADU,coimbatore rural,2001,18,27,16,75,25,49,0,210,,,,
TAMIL NADU,coimbatore urban,2001,4,10,5,19,38,28,0,104,,,,
TAMIL NADU,cuddalore,2001,16,2,9,137,50,21,0,235,cuddalore,11.5202071,79.3396356, Tamilnadu
TAMIL NADU,dharmapuri,2001,17,30,6,65,8,18,0,144,dharmapuri,12.1456131,78.1132217, Tamilnadu
TAMIL NADU,dindigul,2001,14,35,8,48,11,8,5,129,dindigul,10.4256897,77.815664, Tamilnadu
TAMIL NADU,erode,2001,9,14,4,72,16,25,0,140,erode,11.4905282,77.3505274, Tamilnadu
TAMIL NADU,kanchipuram,2001,21,9,6,30,9,12,9,96,,,,
TAMIL NADU,kanyakumari,2001,6,9,5,27,170,29,0,246,,,,
TAMIL NADU,karur,2001,4,8,2,21,2,14,0,51,karur,10.8217671,78.3828654, Tamilnadu
TAMIL NADU,madurai rural,2001,13,23,5,52,8,69,0,170,,,,
TAMIL NADU,madurai urban,2001,2,18,12,20,52,24,0,128,,,,
TAMIL NADU,nagapattinam,2001,12,25,4,55,13,8,0,117,nagapattinam,10.6026203,79.7619348, Tamilnadu
TAMIL NADU,namakkal,2001,7,16,4,39,13,18,0,97,namakkal,11.3033889,78.118604, Tamilnadu
TAMIL NADU,nilgiris,2001,8,5,2,6,5,16,0,42,,,,
TAMIL NADU,perambalur,2001,3,11,0,18,0,12,0,44,perambalur,11.2902641,78.9300404, Tamilnadu
TAMIL NADU,pudukottai,2001,5,24,2,32,4,25,0,92,,,,
TAMIL NADU,ramnathapuram,2001,13,17,4,59,12,16,0,121,,,,
TAMIL NADU,salem rural,2001,8,29,8,53,7,7,0,112,,,,
TAMIL NADU,salem urban,2001,2,10,3,7,13,11,0,46,,,,
TAMIL NADU,sivagangai,2001,5,10,4,17,2,9,0,47,,,,
TAMIL NADU,thanjavur,2001,0,34,0,53,46,31,0,164,thanjavur,10.659037,79.2014278, Tamilnadu
TAMIL NADU,theni,2001,4,7,4,29,8,9,0,61,theni,9.8692558,77.4222974, Tamilnadu
TAMIL NADU,thirunelveli rural,2001,57,53,3,155,62,13,0,343,,,,
TAMIL NADU,thirunelveli urban,2001,3,10,0,2,21,6,0,42,,,,
TAMIL NADU,thiruvallur,2001,16,11,6,70,17,16,0,136,,,,
TAMIL NADU,thiruvannamalai,2001,5,33,1,53,9,18,0,119,thiruvannamalai,9.539867,77.6197904, Tamil Nadu
TAMIL NADU,thiruvarur,2001,7,26,4,50,18,2,0,107,thiruvarur,10.6878621,79.4979437, Tamilnadu
TAMIL NADU,thoothugudi,2001,12,0,1,94,47,36,0,190,,,,
TAMIL NADU,trichy rly.,2001,0,0,0,0,3,0,0,3,,,,
TAMIL NADU,trichy rural,2001,6,17,3,22,5,2,0,55,,,,
TAMIL NADU,trichy urban,2001,5,6,4,9,51,18,0,93,,,,
TAMIL NADU,vellore,2001,13,0,8,54,16,5,0,96,vellore,12.9021849,79.061104, Tamilnadu
TAMIL NADU,villupuram,2001,37,37,14,78,20,42,0,228,villupuram,11.9959629,79.7673667, Tamilnadu
TAMIL NADU,virudhunagar,2001,17,19,2,81,10,20,0,149,virudhunagar,9.4926289,77.8631831, Tamilnadu
TAMIL NADU,total,2001,423,607,191,1773,1012,815,14,4835,,,,
TRIPURA,dhalai,2001,11,0,2,4,0,11,0,28,,,,
TRIPURA,north,2001,29,11,3,16,0,60,0,119,,,,
TRIPURA,south,2001,29,7,5,18,0,59,0,118,,,,
TRIPURA,west,2001,33,17,6,20,0,97,0,173,,,,
TRIPURA,total,2001,102,35,16,58,0,227,0,438,,,,
UTTAR PRADESH,agra,2001,66,132,63,110,114,327,0,812,agra,27.1752554,78.0098161, Uttar Pradesh
UTTAR PRADESH,aligarh,2001,50,78,44,90,54,258,0,574,aligarh,27.8761073,78.1358153, Uttar Pradesh
UTTAR PRADESH,allahabad,2001,42,75,56,85,105,226,0,589,,,,
UTTAR PRADESH,ambedkar nagar,2001,19,29,14,15,9,87,0,173,,,,
UTTAR PRADESH,auraiya,2001,11,25,21,13,7,26,0,103,auraiya,26.6558215,79.5160757, Uttar Pradesh
UTTAR PRADESH,azamgarh,2001,11,41,32,14,15,81,0,194,azamgarh,26.023639,83.0293105, Uttar Pradesh
UTTAR PRADESH,badaun,2001,47,41,62,51,14,76,0,291,badaun,28.0649367,79.043832, Uttar Pradesh
UTTAR PRADESH,baghpat,2001,15,17,20,18,12,64,0,146,baghpat,29.0374779,77.3062737, Uttar Pradesh
UTTAR PRADESH,bahraich,2001,14,19,19,15,17,62,0,146,bahraich,27.7343823,81.47654, Uttar Pradesh
UTTAR PRADESH,ballia,2001,18,17,19,7,22,35,0,118,ballia,25.8749595,84.1210329, Uttar Pradesh
UTTAR PRADESH,balrampur,2001,8,19,12,23,11,30,0,103,balrampur,27.4476988,82.3956245, Uttar Pradesh
UTTAR PRADESH,banda,2001,27,18,21,51,18,50,0,185,banda,25.4438537,80.5595237, Uttar Pradesh
UTTAR PRADESH,barabanki,2001,41,55,35,37,21,188,0,377,barabanki,26.9421406,81.3856087, Uttar Pradesh
UTTAR PRADESH,bareilly,2001,93,98,57,110,40,421,0,819,bareilly,28.4582345,79.4047452, Uttar Pradesh
UTTAR PRADESH,basti,2001,18,23,22,28,12,48,0,151,basti,26.8387084,82.5350919, Uttar Pradesh
UTTAR PRADESH,bijnor,2001,38,59,31,67,38,230,0,463,bijnor,29.4074203,78.4821406, Uttar Pradesh
UTTAR PRADESH,bulandshahar,2001,31,64,45,71,219,227,0,657,bulandshahar,28.5242541,77.5995188, Uttar Pradesh
UTTAR PRADESH,chandoli,2001,4,11,16,13,0,22,0,66,,,,
UTTAR PRADESH,chitrakoot dham,2001,8,3,8,16,4,2,0,41,,,,
UTTAR PRADESH,deoria,2001,7,33,27,15,15,44,0,141,deoria,26.4239911,83.7638578, Uttar Pradesh
UTTAR PRADESH,etah,2001,57,59,68,68,24,156,0,432,etah,27.5550357,78.5992221, Uttar Pradesh
UTTAR PRADESH,etawah,2001,20,22,29,25,26,52,0,174,etawah,26.7155629,79.0917098, Uttar Pradesh
UTTAR PRADESH,faizabad,2001,22,26,17,24,18,49,0,156,,,,
UTTAR PRADESH,fatehgarh,2001,9,38,22,23,28,93,0,213,,,,
UTTAR PRADESH,fatehpur,2001,28,27,46,25,15,59,0,200,fatehpur,25.8348023,80.9154547, Uttar Pradesh
UTTAR PRADESH,firozabad,2001,22,59,48,33,69,89,0,320,firozabad,27.1941954,78.4604956, Uttar Pradesh
UTTAR PRADESH,g.r.p.,2001,2,2,1,18,71,1,0,95,,,,
UTTAR PRADESH,gautambudh nagar,2001,16,30,17,39,40,54,0,196,,,,
UTTAR PRADESH,ghaziabad,2001,31,79,33,54,138,140,0,475,ghaziabad,28.7749966,77.4586967, Uttar Pradesh
UTTAR PRADESH,ghazipur,2001,6,19,22,18,29,56,0,150,ghazipur,25.6034863,83.5075888, Uttar Pradesh
UTTAR PRADESH,gonda,2001,18,21,26,19,13,46,0,143,gonda,27.1103723,81.9238906, Uttar Pradesh
UTTAR PRADESH,gorakhpur,2001,13,52,16,25,36,52,0,194,gorakhpur,26.6677977,83.3642334, Uttar Pradesh
UTTAR PRADESH,hamirpur,2001,14,16,22,32,7,25,0,116,hamirpur,31.6539866,76.5403633, Himachal Pradesh
UTTAR PRADESH,hardoi,2001,70,60,63,86,21,136,0,436,hardoi,27.3369978,80.0998232, Uttar Pradesh
UTTAR PRADESH,hathras,2001,16,26,31,63,26,93,0,255,,,,
UTTAR PRADESH,j.p.nagar,2001,23,36,14,35,22,98,0,228,,,,
UTTAR PRADESH,jalaun,2001,6,14,29,40,21,65,0,175,,,,
UTTAR PRADESH,jaunpur,2001,11,15,43,21,19,85,0,194,jaunpur,25.7967065,82.4888992, Uttar Pradesh
UTTAR PRADESH,jhansi,2001,18,20,31,32,30,69,0,200,jhansi,25.529855,78.6527802, Uttar Pradesh
UTTAR PRADESH,kannauj,2001,8,19,22,18,7,63,0,137,,,,
UTTAR PRADESH,kanpur dehat,2001,21,34,39,45,7,79,0,225,,,,
UTTAR PRADESH,kanpur nagar,2001,47,176,64,106,213,356,0,962,,,,
UTTAR PRADESH,kaushambi,2001,26,23,28,44,9,72,0,202,kaushambi,25.5342456,81.4493567, Uttar Pradesh
UTTAR PRADESH,khiri,2001,83,90,88,99,24,138,0,522,,,,
UTTAR PRADESH,kushi nagar,2001,7,20,18,19,35,14,0,113,,,,
UTTAR PRADESH,lalitpur,2001,20,5,10,26,9,31,0,101,lalitpur,24.6999688,78.51862, Uttar Pradesh
UTTAR PRADESH,lucknow,2001,62,138,47,103,148,337,0,835,lucknow,26.8381,80.9346001, Uttar Pradesh
UTTAR PRADESH,maharajganj,2001,13,13,7,13,37,10,0,93,maharajganj,26.4710847,81.1807046, Uttar Pradesh
UTTAR PRADESH,mahoba,2001,12,7,11,22,3,4,0,59,mahoba,25.3615939,79.706011, Uttar Pradesh
UTTAR PRADESH,mainpuri,2001,13,31,42,32,3,63,0,184,mainpuri,27.2093072,79.0625369, Uttar Pradesh
UTTAR PRADESH,mathura,2001,25,33,21,48,50,77,0,254,mathura,27.4955539,77.6855554, Uttar Pradesh
UTTAR PRADESH,mau,2001,17,25,16,33,27,39,0,157,,,,
UTTAR PRADESH,meerut,2001,28,96,34,59,123,236,0,576,meerut,29.0018557,77.7679671, Uttar Pradesh
UTTAR PRADESH,mirzapur,2001,16,6,23,16,21,39,0,121,mirzapur,24.9316896,82.6280163, Uttar Pradesh
UTTAR PRADESH,moradabad,2001,44,72,45,79,85,207,0,532,,,,
UTTAR PRADESH,muzaffarnagar,2001,54,67,24,51,33,265,0,494,muzaffarnagar,29.4496979,77.7429333, Uttar Pradesh
UTTAR PRADESH,pilibhit,2001,64,47,44,50,20,195,0,420,,,,
UTTAR PRADESH,pratapgarh,2001,18,35,33,21,9,44,0,160,pratapgarh,25.75,81.75, Uttar Pradesh
UTTAR PRADESH,raibareilly,2001,58,50,29,57,17,137,0,348,,,,
UTTAR PRADESH,rampur,2001,22,27,18,11,0,49,0,127,rampur,28.7934728,79.1845806, Uttar Pradesh
UTTAR PRADESH,saharanpur,2001,41,52,21,45,96,196,0,451,saharanpur,29.9856799,77.5040646, Uttar Pradesh
UTTAR PRADESH,sant kabirnagar,2001,9,16,7,11,6,26,0,75,,,,
UTTAR PRADESH,shahjahanpur,2001,55,68,66,61,21,146,0,417,shahjahanpur,27.9128583,79.7476254, Uttar Pradesh
UTTAR PRADESH,shrawasti,2001,13,18,4,16,8,18,0,77,,,,
UTTAR PRADESH,sidharthnagar,2001,12,24,13,20,3,28,0,100,,,,
UTTAR PRADESH,sitapur,2001,85,47,82,71,35,106,0,426,sitapur,27.5026748,80.8335139, Uttar Pradesh
UTTAR PRADESH,sonbhadra,2001,5,6,12,9,4,5,0,41,sonbhadra,24.4148159,83.0637517, Uttar Pradesh
UTTAR PRADESH,st.ravidasnagar,2001,1,7,9,3,3,23,0,46,,,,
UTTAR PRADESH,sultanpur,2001,29,35,38,34,17,153,0,306,,,,
UTTAR PRADESH,unnao,2001,53,79,63,100,12,168,0,475,unnao,26.5673264,80.6198193, Uttar Pradesh
UTTAR PRADESH,varanasi,2001,27,35,31,19,90,119,0,321,varanasi,25.3356491,83.0076292, Uttar Pradesh
UTTAR PRADESH,total,2001,1958,2879,2211,2870,2575,7365,0,19858,,,,
UTTARAKHAND,almora,2001,4,1,3,5,0,5,0,18,,,,
UTTARAKHAND,bageshwar,2001,1,4,8,1,0,0,0,14,,,,
UTTARAKHAND,chamoli,2001,3,3,3,10,0,1,0,20,,,,
UTTARAKHAND,champawat,2001,0,3,0,7,0,5,0,15,,,,
UTTARAKHAND,dehradun,2001,12,48,4,13,19,85,0,181,,,,
UTTARAKHAND,haridwar,2001,13,23,10,21,33,105,0,205,,,,
UTTARAKHAND,nainital,2001,5,0,5,11,3,29,0,53,,,,
UTTARAKHAND,pauri garhwal,2001,7,7,5,4,1,7,0,31,,,,
UTTARAKHAND,pithoragarh,2001,7,0,2,6,4,10,0,29,,,,
UTTARAKHAND,rudra prayag,2001,2,0,3,3,1,2,0,11,,,,
UTTARAKHAND,tehri garhwal,2001,2,5,2,3,0,8,0,20,,,,
UTTARAKHAND,udhamsingh nagar,2001,10,29,10,7,22,31,0,109,,,,
UTTARAKHAND,uttarkashi,2001,8,3,1,12,1,13,0,38,,,,
UTTARAKHAND,total,2001,74,126,56,103,84,301,0,744,,,,
WEST BENGAL,24 parganas north,2001,53,63,23,63,0,447,0,649,,,,
WEST BENGAL,24 parganas south,2001,47,52,48,54,0,480,0,681,,,,
